date,open,high,low,close,volume
2010-06-15,14.01,14.01,13.97,13.97,1
2010-06-16,14.07,14.13,14.07,14.12,4
2010-06-17,14.16,14.16,14.05,14.05,1
2010-06-18,14.04,14.14,14.04,14.14,54000
2010-06-21,14.23,14.3,14.22,14.22,2995
2010-06-22,14.17,14.18,14.17,14.17,120
2010-06-23,13.99,13.99,13.94,13.94,272
2010-06-24,13.87,13.87,13.66,13.66,100
2010-06-25,13.65,13.65,13.62,13.62,1
2010-06-28,13.65,13.7,13.62,13.7,443
2010-06-29,13.62,13.62,13.43,13.43,1
2010-06-30,13.36,13.36,13.27,13.31,100
2010-07-01,13.17,13.17,12.76,12.76,500
2010-07-02,12.87,12.87,12.69,12.69,1600
2010-07-05,12.75,12.75,12.71,12.71,219
2010-07-06,12.67,12.87,12.67,12.84,9295
2010-07-07,12.75,12.94,12.73,12.94,2409
2010-07-08,13.12,13.13,13.12,13.13,1697
2010-07-09,13.17,13.25,13.17,13.25,483
2010-07-12,13.32,13.37,13.32,13.37,1069
2010-07-13,13.44,13.53,13.44,13.48,9680
2010-07-14,13.55,13.55,13.45,13.45,1572
2010-07-15,13.44,13.44,13.15,13.15,113
2010-07-16,13.25,13.25,13.0,13.0,841
2010-07-19,13.29,13.29,12.85,12.85,48000
2010-07-20,12.86,12.93,12.86,12.92,785
2010-07-21,13.16,13.24,13.16,13.19,9242
2010-07-22,13.1,13.27,13.1,13.27,1270
2010-07-23,13.26,13.33,13.24,13.33,351
2010-07-26,13.37,13.4,13.37,13.4,17
2010-07-27,13.42,13.45,13.41,13.41,6675
2010-07-28,13.42,13.44,13.32,13.35,3108
2010-07-29,13.34,13.34,13.15,13.15,481
2010-07-30,13.16,13.19,13.12,13.19,76314
2010-08-02,13.284,13.357,13.284,13.344,41
2010-08-03,13.328,13.328,13.303,13.303,85
2010-08-04,13.251,13.381,13.244,13.381,70
2010-08-05,13.429,13.429,13.365,13.365,3066
2010-08-06,13.382,13.395,13.08,13.08,688
2010-08-09,13.253,13.325,13.251,13.325,100490
2010-08-10,13.346,13.357,13.331,13.357,275
2010-08-11,13.333,13.333,13.279,13.279,57
2010-08-12,13.187,13.218,13.187,13.218,1
2010-08-13,13.244,13.26,13.199,13.26,1689
2010-08-16,13.223,13.223,13.165,13.165,39
2010-08-17,13.201,13.328,13.201,13.328,28900
2010-08-18,13.304,13.304,13.289,13.289,1
2010-08-19,13.364,13.364,13.099,13.099,56000
2010-08-20,13.157,13.184,13.122,13.184,6
2010-08-23,13.221,13.243,13.221,13.243,1
2010-08-24,13.173,13.173,13.025,13.063,28000
2010-08-25,13.033,13.033,12.983,12.983,56281
2010-08-26,13.023,13.049,13.023,13.025,13
2010-08-27,12.962,13.015,12.881,13.015,28000
2010-08-30,13.174,13.174,13.092,13.092,28000
2010-08-31,12.915,12.991,12.915,12.991,1
2010-09-01,13.029,13.21,13.001,13.21,165
2010-09-02,13.22,13.282,13.22,13.257,28294
2010-09-03,13.324,13.408,13.306,13.383,28553
2010-09-06,13.438,13.447,13.438,13.447,1285
2010-09-07,13.488,13.518,13.488,13.511,57
2010-09-08,13.468,13.555,13.468,13.555,742
2010-09-09,13.583,13.683,13.583,13.683,1
2010-09-10,13.647,13.654,13.628,13.654,1368
2010-09-13,13.702,13.715,13.68,13.68,24
2010-09-14,13.702,13.702,13.573,13.591,28626
2010-09-15,13.562,13.562,13.512,13.512,45
2010-09-16,13.549,13.549,13.444,13.444,1870
2010-09-17,13.544,13.59,13.541,13.541,366
2010-09-20,13.516,13.651,13.516,13.651,1113
2010-09-21,13.665,13.665,13.623,13.623,482
2010-09-22,13.465,13.465,13.283,13.283,3
2010-09-23,13.337,13.36,13.283,13.36,752
2010-09-24,13.284,13.333,13.229,13.333,28232
2010-09-27,13.382,13.4,13.324,13.324,1750
2010-09-28,13.341,13.341,13.239,13.239,481
2010-09-29,13.226,13.226,13.183,13.183,47
2010-09-30,13.195,13.24,13.152,13.173,32578
2010-10-01,13.143,13.143,13.029,13.029,446
2010-10-04,13.044,13.08,13.027,13.027,988
2010-10-05,13.048,13.104,13.039,13.104,56050
2010-10-06,13.15,13.178,13.101,13.101,9
2010-10-07,13.034,13.064,13.034,13.064,100
2010-10-08,13.065,13.123,13.057,13.123,57653
2010-10-11,13.117,13.181,13.117,13.181,8470
2010-10-12,13.154,13.202,13.154,13.202,533
2010-10-13,13.158,13.259,13.158,13.259,388
2010-10-14,13.192,13.192,13.117,13.117,1192
2010-10-15,13.131,13.149,13.116,13.149,29248
2010-10-18,13.244,13.256,13.244,13.256,417
2010-10-19,13.287,13.356,13.287,13.356,56424
2010-10-20,13.307,13.307,13.226,13.263,56641
2010-10-21,13.249,13.311,13.248,13.311,370
2010-10-22,13.304,13.33,13.303,13.33,28178
2010-10-25,13.326,13.377,13.326,13.377,1550
2010-10-26,13.352,13.42,13.33,13.42,75560
2010-10-27,13.434,13.434,13.375,13.375,28
2010-10-28,13.436,13.464,13.334,13.334,1678
2010-10-29,13.347,13.382,13.337,13.343,30654
2010-11-01,13.389,13.449,13.389,13.449,1
2010-11-02,13.39,13.39,13.342,13.342,944
2010-11-03,13.38,13.393,13.341,13.341,216
2010-11-04,13.343,13.429,13.334,13.429,3233
2010-11-05,13.491,13.669,13.491,13.669,542
2010-11-08,13.753,13.798,13.753,13.786,10963
2010-11-09,13.827,13.847,13.814,13.847,432
2010-11-10,13.847,13.874,13.847,13.873,28296
2010-11-11,13.838,13.9,13.838,13.9,626
2010-11-12,13.857,13.857,13.781,13.781,57801
2010-11-15,13.803,13.911,13.803,13.911,469
2010-11-16,13.796,13.796,13.712,13.712,28168
2010-11-17,13.726,13.751,13.695,13.733,4884
2010-11-18,13.765,13.852,13.741,13.852,4366
2010-11-19,13.781,13.781,13.753,13.78,59
2010-11-22,13.808,13.808,13.769,13.78,1238
2010-11-23,13.77,13.824,13.77,13.824,1
2010-11-24,13.886,14.057,13.886,14.057,36000
2010-11-25,14.094,14.14,14.094,14.12,4730
